Source,Target,Type,Distance,Voltage,Lines
1,2,Undirected,75.13,66,1
3,4,Undirected,20,220,2
4,5,Undirected,43,220,1
4,6,Undirected,165,220,2
6,7,Undirected,0,110,1
6,8,Undirected,0,110,1
9,10,Undirected,56.1,66,1
11,12,Undirected,81.68,66,1
6,13,Undirected,121.64,110,1
6,14,Undirected,2.88,110,1
14,15,Undirected,0.8,11,2
16,17,Undirected,103.72,66,2
18,19,Undirected,8.8,66,1
20,21,Undirected,130.57,110,1
6,22,Undirected,4.5,110,1
23,24,Undirected,55,220,1
25,26,Undirected,0,66,1
6,27,Undirected,28.75,110,1
28,29,Undirected,46.18,66,1
30,31,Undirected,4.92,110,2
6,32,Undirected,25.86,110,1
27,32,Undirected,37.495,110,2
32,33,Undirected,23,110,1
27,33,Undirected,26.5,110,1
34,35,Undirected,34.18,66,1
36,6,Undirected,0.3,220,1
37,6,Undirected,75.76,220,1
38,39,Undirected,4.53,110,1
40,41,Undirected,23.05,66,1
37,42,Undirected,45.3,220,1
43,44,Undirected,7.21,220,1
42,23,Undirected,30,220,1
6,23,Undirected,164,220,1
45,46,Undirected,95.9,66,1
23,47,Undirected,0.08,220,1
48,49,Undirected,68.16,66,1
50,51,Undirected,8.6,110,2
52,53,Undirected,42.48,154,1
33,6,Undirected,48.2,110,1
54,55,Undirected,132.9,220,2
56,57,Undirected,21,110,1
23,58,Undirected,0.65,110,1
59,60,Undirected,24.1,66,1
61,62,Undirected,118.23,66,1
63,64,Undirected,35.1,110,4
65,66,Undirected,13.07,110,1
67,68,Undirected,6.39,110,2
69,68,Undirected,11.2,110,2
69,70,Undirected,42.08,220,2
71,72,Undirected,18.247,110,2
73,72,Undirected,10.43,110,2
74,75,Undirected,9.1,66,1
76,77,Undirected,3.51,110,2
78,72,Undirected,4.76,110,2
23,54,Undirected,68.5825,220,4
79,72,Undirected,19.35,110,2
54,80,Undirected,27.025,220,4
81,82,Undirected,16.93,110,2
81,67,Undirected,18.24,110,2
54,83,Undirected,35.7,110,2
83,84,Undirected,0,110,1
85,86,Undirected,17.05,110,2
87,88,Undirected,20.79,110,2
89,90,Undirected,47.17,110,2
91,89,Undirected,4.21,66,1
89,92,Undirected,28.7,66,2
39,40,Undirected,33.26,66,1
93,94,Undirected,12.56,66,2
93,95,Undirected,9.27,66,2
54,25,Undirected,114.64,220,2
96,95,Undirected,29.61,66,1
97,98,Undirected,34.72,154,2
11,99,Undirected,35.47,66,1
25,100,Undirected,92.44,220,2
101,102,Undirected,24.15,66,1
103,104,Undirected,116.78,154,1
105,53,Undirected,37.22,66,1
53,1,Undirected,88.4,66,1
106,107,Undirected,22.14,66,1
18,108,Undirected,45.32,66,1
109,110,Undirected,3.8,66,1
